Class,X1,Y1,X2,Y2,Confidence
Brevipoalpus lewisi McGregor,141.24127,0.0,1215.8484,698.19653,0.4026368
Brevipoalpus lewisi McGregor,219.31519,0.0,1237.5494,697.3314,0.48880175
Brevipoalpus lewisi McGregor,237.99274,0.0,1233.8286,693.9055,0.53719693
Brevipoalpus lewisi McGregor,262.44275,0.0,1227.8245,684.8699,0.5138169
Brevipoalpus lewisi McGregor,304.76025,0.0,1173.3193,676.5544,0.49484208
Brevipoalpus lewisi McGregor,270.90378,0.0,1226.7705,679.728,0.47905275
Brevipoalpus lewisi McGregor,257.98453,0.0,1244.1967,676.0879,0.4505298
Brevipoalpus lewisi McGregor,252.80685,0.0,1261.7627,680.1941,0.4569515
Brevipoalpus lewisi McGregor,265.6284,0.0,1243.7465,684.2184,0.3962165
Brevipoalpus lewisi McGregor,259.26773,0.0,1247.0104,696.7607,0.3496429
Brevipoalpus lewisi McGregor,362.35187,0.0,1254.981,693.96533,0.3248627
Brevipoalpus lewisi McGregor,389.98425,0.0,1263.1313,682.86456,0.45739204
Brevipoalpus lewisi McGregor,388.76056,0.0,1272.0923,675.9669,0.50145596
Brevipoalpus lewisi McGregor,370.5014,0.0,1280.0,665.78186,0.47384432
Brevipoalpus lewisi McGregor,368.8766,0.0,1279.7544,660.3639,0.49342766
Brevipoalpus lewisi McGregor,353.49423,0.0,1280.0,664.83704,0.36089075
Brevipoalpus lewisi McGregor,365.4864,0.0,1275.3215,659.2095,0.37073964
Brevipoalpus lewisi McGregor,358.65024,0.0,1275.2731,658.4,0.30583048
Brevipoalpus lewisi McGregor,365.8156,0.0,1280.0,660.0243,0.3107842
Brevipoalpus lewisi McGregor,370.7296,0.0,1280.0,662.60864,0.43014336
Brevipoalpus lewisi McGregor,360.18637,0.0,1274.2467,662.6615,0.396384
Brevipoalpus lewisi McGregor,315.4572,0.0,1266.7715,689.4167,0.30608356
Brevipoalpus lewisi McGregor,316.13757,0.0,1259.1475,689.44855,0.4400075
Brevipoalpus lewisi McGregor,256.72836,0.0,1234.0875,691.79047,0.3150944
Brevipoalpus lewisi McGregor,252.01248,0.0,1237.5352,686.1415,0.3004776
Brevipoalpus lewisi McGregor,260.02652,1.973999,923.1625,675.59735,0.34509823
Brevipoalpus lewisi McGregor,189.6243,11.713593,889.5155,677.78296,0.31994146
Brevipoalpus lewisi McGregor,189.15027,10.914276,893.5404,666.21265,0.30040452
Brevipoalpus lewisi McGregor,203.50806,17.015533,882.5453,672.48584,0.31763756
Brevipoalpus lewisi McGregor,197.10031,12.616608,878.3146,671.3799,0.40667352
Brevipoalpus lewisi McGregor,199.60345,14.120819,874.4766,678.49097,0.3428551
Brevipoalpus lewisi McGregor,199.49023,16.783417,876.9269,674.24805,0.39342192
Brevipoalpus lewisi McGregor,203.97043,7.8548584,880.8229,679.59534,0.44256932
Brevipoalpus lewisi McGregor,201.45361,12.08728,878.4696,674.38135,0.3297351
Brevipoalpus lewisi McGregor,201.2781,12.314697,879.8977,674.5633,0.30810377
Brevipoalpus lewisi McGregor,201.36081,14.14386,877.9099,676.535,0.42285815
Brevipoalpus lewisi McGregor,200.38132,11.920624,876.8157,679.06323,0.35637525
Brevipoalpus lewisi McGregor,199.82404,13.427521,871.77826,668.49194,0.40403283
Brevipoalpus lewisi McGregor,197.28885,14.480255,879.79675,683.0343,0.32302895
Brevipoalpus lewisi McGregor,198.18854,15.260742,873.02203,673.97046,0.37177104
Brevipoalpus lewisi McGregor,198.73117,11.896606,874.4634,674.1814,0.40918726
Brevipoalpus lewisi McGregor,194.02399,13.511475,883.53754,676.24365,0.37585577
Brevipoalpus lewisi McGregor,190.97482,7.6917725,888.56396,672.2025,0.37107542
Brevipoalpus lewisi McGregor,635.5925,14.304993,1272.1309,664.19836,0.32622367
Adristyrannus,17.76477,31.84964,1280.0,658.2012,0.3543931
Cicadellidae,3.038971,229.613,602.8086,670.83704,0.32993552
Cicadellidae,2.1689453,227.47461,627.88196,680.65027,0.3747643
Cicadellidae,3.635437,226.55144,643.0416,681.2036,0.3526612
Cicadellidae,0.0,233.06119,662.97095,681.4397,0.35936192
Cicadellidae,0.0,243.19012,668.9534,685.8301,0.3215665
Cicadellidae,0.0,248.92096,691.75366,687.58405,0.38548052
Cicadellidae,0.0,243.16321,700.42615,701.4995,0.37105295
Cicadellidae,0.0,241.31635,709.77234,695.7233,0.32617766
Cicadellidae,0.0,239.4978,721.81165,702.74774,0.31382793
Cicadellidae,0.0,237.1557,726.1661,694.19574,0.37983412
Cicadellidae,0.63998413,233.21136,730.0293,692.4803,0.36560354
Cicadellidae,0.0,231.68044,738.73773,695.9713,0.39395225
Cicadellidae,0.0,254.96713,675.8523,709.56165,0.30770865
Cicadellidae,3.2512817,234.21777,652.10547,695.5521,0.37641704
Cicadellidae,3.5331116,229.95105,651.7184,683.66516,0.4421207
grub,0.0,235.14023,651.82666,678.1638,0.3544076
grub,0.0,235.0697,649.3231,679.3729,0.33538413
Cicadellidae,5.6225586,215.99263,641.848,681.66156,0.31766525
Cicadellidae,0.0,220.02444,604.54285,679.916,0.3115424
Cicadellidae,3.1742249,222.13976,591.6216,684.28345,0.31980842
