               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067456,            0.027575,             0.10618,            0.005949,             0.67453,            0.013909,            0.008247,            0.033643,           0.0090633,            0.083045,            0.070071,           0.0033254,           0.0033254
                   1,            0.046709,            0.022177,            0.095468,           0.0060419,             0.77487,            0.014713,           0.0090014,            0.029842,            0.008646,            0.080431,            0.039968,           0.0065557,           0.0065557
                   2,             0.04516,             0.02174,            0.092363,           0.0064646,              0.7478,            0.021072,            0.011621,            0.033885,           0.0090447,            0.079082,           0.0097623,           0.0096829,           0.0096829
                   3,            0.047157,              0.0222,            0.092335,           0.0064014,             0.75021,            0.017958,           0.0096621,            0.033157,           0.0089668,            0.078349,           0.0095359,           0.0095359,           0.0095359
                   4,            0.045414,            0.021889,            0.089545,           0.0065148,             0.79718,            0.025298,            0.015074,            0.031803,           0.0089883,            0.078399,           0.0095359,           0.0095359,           0.0095359
                   5,            0.043603,            0.021978,            0.087584,              0.5581,            0.059102,            0.037829,            0.021658,            0.030601,           0.0087194,            0.073987,           0.0093813,           0.0093813,           0.0093813
                   6,            0.042529,            0.021348,             0.08543,             0.69526,            0.058607,             0.05448,            0.032596,            0.027609,           0.0082583,             0.07227,           0.0092266,           0.0092266,           0.0092266
                   7,            0.041743,            0.021288,            0.082111,             0.62306,            0.061718,            0.050633,            0.028569,            0.030494,           0.0086856,            0.072111,           0.0090719,           0.0090719,           0.0090719
                   8,            0.041632,            0.020993,            0.079864,             0.60315,            0.089932,            0.078682,            0.046285,            0.028382,           0.0081641,            0.069592,           0.0089172,           0.0089172,           0.0089172
                   9,            0.040106,             0.02058,            0.079343,             0.55155,            0.089387,            0.079806,            0.048092,            0.029102,             0.00872,            0.070682,           0.0087625,           0.0087625,           0.0087625
                  10,            0.040694,            0.020537,            0.077784,              0.5146,             0.11186,             0.09085,            0.053935,            0.027732,           0.0080675,            0.066349,           0.0086078,           0.0086078,           0.0086078
                  11,            0.040436,            0.020658,            0.075984,             0.46974,             0.14426,             0.11077,            0.068093,            0.027534,           0.0084998,            0.064764,           0.0084531,           0.0084531,           0.0084531
                  12,             0.04035,            0.020656,            0.074279,             0.48956,              0.1401,             0.12793,            0.075741,            0.028333,           0.0081435,            0.064362,           0.0082984,           0.0082984,           0.0082984
                  13,            0.039309,            0.020147,             0.07195,             0.44114,             0.19704,             0.15218,             0.09074,            0.026829,           0.0079427,            0.061925,           0.0081437,           0.0081437,           0.0081437
